"_id","activity","bpu","experimentId","population","response","username"
"ObjectId(""5a3700fa90789136ad075223"")","-1","eug16","ObjectId(""5a3700fa90789136ad075223"")","8","-1","scripterPopulation"
"ObjectId(""5a3701e190789136ad075224"")","-1","eug10","ObjectId(""5a3701e190789136ad075224"")","42","-1","scripterPopulation"
"ObjectId(""5a37039490789136ad075227"")","-1","eug8","ObjectId(""5a37039490789136ad075227"")","-1",0,"scripterResponse"
"ObjectId(""5a37058790789136ad07522a"")","212.973872951","eug6","ObjectId(""5a37058790789136ad07522a"")","-1","-1","scripterActivity"
"ObjectId(""5a37080390789136ad07522d"")","-1","eug16","ObjectId(""5a37080390789136ad07522d"")","-1","0.564227400606","scripterResponse"
"ObjectId(""5a3708ea90789136ad07522e"")","-1","eug10","ObjectId(""5a3708ea90789136ad07522e"")","-1","0.089538091054","scripterResponse"
"ObjectId(""5a370a9c90789136ad075231"")","168.197737069","eug8","ObjectId(""5a370a9c90789136ad075231"")","-1","-1","scripterActivity"
"ObjectId(""5a370c9090789136ad075234"")","-1","eug6","ObjectId(""5a370c9090789136ad075234"")","168","-1","scripterPopulation"
"ObjectId(""5a370f0b90789136ad075237"")","196.614583333","eug16","ObjectId(""5a370f0b90789136ad075237"")","-1","-1","scripterActivity"
"ObjectId(""5a370ff390789136ad075238"")","166.852678571","eug10","ObjectId(""5a370ff390789136ad075238"")","-1","-1","scripterActivity"
"ObjectId(""5a3711a490789136ad07523b"")","-1","eug8","ObjectId(""5a3711a490789136ad07523b"")","76","-1","scripterPopulation"
"ObjectId(""5a37139890789136ad07523e"")","-1","eug6","ObjectId(""5a37139890789136ad07523e"")","-1",0,"scripterResponse"
"ObjectId(""5a37161390789136ad075241"")","-1","eug16","ObjectId(""5a37161390789136ad075241"")","14","-1","scripterPopulation"
"ObjectId(""5a3716fb90789136ad075242"")","-1","eug10","ObjectId(""5a3716fb90789136ad075242"")","41","-1","scripterPopulation"
"ObjectId(""5a3718ac90789136ad075245"")","-1","eug8","ObjectId(""5a3718ac90789136ad075245"")","-1",0,"scripterResponse"
"ObjectId(""5a371aa090789136ad075248"")","215.19622093","eug6","ObjectId(""5a371aa090789136ad075248"")","-1","-1","scripterActivity"
"ObjectId(""5a371d1c90789136ad07524b"")","-1","eug16","ObjectId(""5a371d1c90789136ad07524b"")","-1","0.708078198001","scripterResponse"
"ObjectId(""5a371e0390789136ad07524c"")","-1","eug10","ObjectId(""5a371e0390789136ad07524c"")","-1",0,"scripterResponse"
"ObjectId(""5a371fb590789136ad07524f"")","176.914612676","eug8","ObjectId(""5a371fb590789136ad07524f"")","-1","-1","scripterActivity"
"ObjectId(""5a3721a990789136ad075252"")","-1","eug6","ObjectId(""5a3721a990789136ad075252"")","168","-1","scripterPopulation"
"ObjectId(""5a37242590789136ad075255"")","180.859375","eug16","ObjectId(""5a37242590789136ad075255"")","-1","-1","scripterActivity"
"ObjectId(""5a37250c90789136ad075256"")","178.072916667","eug10","ObjectId(""5a37250c90789136ad075256"")","-1","-1","scripterActivity"
"ObjectId(""5a3726bd90789136ad075259"")","-1","eug8","ObjectId(""5a3726bd90789136ad075259"")","78","-1","scripterPopulation"
"ObjectId(""5a3728b290789136ad07525c"")","-1","eug6","ObjectId(""5a3728b290789136ad07525c"")","-1",0,"scripterResponse"
"ObjectId(""5a372b2d90789136ad07525f"")","-1","eug16","ObjectId(""5a372b2d90789136ad07525f"")","7","-1","scripterPopulation"
"ObjectId(""5a372c1490789136ad075260"")","-1","eug10","ObjectId(""5a372c1490789136ad075260"")","46","-1","scripterPopulation"
"ObjectId(""5a372dc690789136ad075263"")","-1","eug8","ObjectId(""5a372dc690789136ad075263"")","-1",0,"scripterResponse"
"ObjectId(""5a372fbb90789136ad075266"")","214.35789801","eug6","ObjectId(""5a372fbb90789136ad075266"")","-1","-1","scripterActivity"
"ObjectId(""5a37323690789136ad075269"")","-1","eug16","ObjectId(""5a37323690789136ad075269"")","-1","0.782513594917","scripterResponse"
"ObjectId(""5a37331c90789136ad07526a"")","-1","eug10","ObjectId(""5a37331c90789136ad07526a"")","-1","0.142291756898","scripterResponse"
"ObjectId(""5a3734ce90789136ad07526d"")","180.763888889","eug8","ObjectId(""5a3734ce90789136ad07526d"")","-1","-1","scripterActivity"
"ObjectId(""5a3736c490789136ad075270"")","-1","eug6","ObjectId(""5a3736c490789136ad075270"")","181","-1","scripterPopulation"
"ObjectId(""5a37393e90789136ad075273"")","173.828125","eug16","ObjectId(""5a37393e90789136ad075273"")","-1","-1","scripterActivity"
"ObjectId(""5a373a2590789136ad075274"")","160.25390625","eug10","ObjectId(""5a373a2590789136ad075274"")","-1","-1","scripterActivity"
"ObjectId(""5a373bd790789136ad075277"")","-1","eug8","ObjectId(""5a373bd790789136ad075277"")","82","-1","scripterPopulation"
"ObjectId(""5a373dcd90789136ad07527a"")","-1","eug6","ObjectId(""5a373dcd90789136ad07527a"")","-1",0,"scripterResponse"
"ObjectId(""5a37404790789136ad07527d"")","-1","eug16","ObjectId(""5a37404790789136ad07527d"")","11","-1","scripterPopulation"
"ObjectId(""5a37412e90789136ad07527e"")","-1","eug10","ObjectId(""5a37412e90789136ad07527e"")","43","-1","scripterPopulation"
"ObjectId(""5a3742e090789136ad075281"")","-1","eug8","ObjectId(""5a3742e090789136ad075281"")","-1",0,"scripterResponse"
"ObjectId(""5a3744d690789136ad075284"")","201.533917683","eug6","ObjectId(""5a3744d690789136ad075284"")","-1","-1","scripterActivity"
"ObjectId(""5a37475090789136ad075287"")","-1","eug16","ObjectId(""5a37475090789136ad075287"")","-1","0.490606632446","scripterResponse"
"ObjectId(""5a37483790789136ad075288"")","-1","eug10","ObjectId(""5a37483790789136ad075288"")","-1",0,"scripterResponse"
"ObjectId(""5a3749e890789136ad07528b"")","173.395833333","eug8","ObjectId(""5a3749e890789136ad07528b"")","-1","-1","scripterActivity"
"ObjectId(""5a374bde90789136ad07528e"")","-1","eug6","ObjectId(""5a374bde90789136ad07528e"")","138","-1","scripterPopulation"
"ObjectId(""5a374e5890789136ad075291"")","174.90234375","eug16","ObjectId(""5a374e5890789136ad075291"")","-1","-1","scripterActivity"
"ObjectId(""5a374f3f90789136ad075292"")","172.861842105","eug10","ObjectId(""5a374f3f90789136ad075292"")","-1","-1","scripterActivity"
"ObjectId(""5a3750f090789136ad075295"")","-1","eug8","ObjectId(""5a3750f090789136ad075295"")","76","-1","scripterPopulation"
"ObjectId(""5a3752e790789136ad075298"")","-1","eug6","ObjectId(""5a3752e790789136ad075298"")","-1",0,"scripterResponse"
"ObjectId(""5a37556190789136ad07529b"")","-1","eug16","ObjectId(""5a37556190789136ad07529b"")","10","-1","scripterPopulation"
"ObjectId(""5a37564890789136ad07529c"")","-1","eug10","ObjectId(""5a37564890789136ad07529c"")","37","-1","scripterPopulation"
"ObjectId(""5a3757f990789136ad07529f"")","-1","eug8","ObjectId(""5a3757f990789136ad07529f"")","-1",0,"scripterResponse"
"ObjectId(""5a3759ef90789136ad0752a2"")","223.80628882","eug6","ObjectId(""5a3759ef90789136ad0752a2"")","-1","-1","scripterActivity"
"ObjectId(""5a375c6a90789136ad0752a5"")","-1","eug16","ObjectId(""5a375c6a90789136ad0752a5"")","-1","0.999141643462","scripterResponse"
"ObjectId(""5a375d5190789136ad0752a6"")","-1","eug10","ObjectId(""5a375d5190789136ad0752a6"")","-1",0,"scripterResponse"
"ObjectId(""5a375f0190789136ad0752a9"")","175.436827957","eug8","ObjectId(""5a375f0190789136ad0752a9"")","-1","-1","scripterActivity"
"ObjectId(""5a3760f790789136ad0752ac"")","-1","eug6","ObjectId(""5a3760f790789136ad0752ac"")","151","-1","scripterPopulation"
"ObjectId(""5a37637290789136ad0752af"")","127.265625","eug16","ObjectId(""5a37637290789136ad0752af"")","-1","-1","scripterActivity"
"ObjectId(""5a37645990789136ad0752b0"")","164.46143617","eug10","ObjectId(""5a37645990789136ad0752b0"")","-1","-1","scripterActivity"
"ObjectId(""5a37660990789136ad0752b3"")","-1","eug8","ObjectId(""5a37660990789136ad0752b3"")","80","-1","scripterPopulation"
"ObjectId(""5a37680090789136ad0752b6"")","-1","eug6","ObjectId(""5a37680090789136ad0752b6"")","-1",0,"scripterResponse"
"ObjectId(""5a376a7b90789136ad0752b9"")","-1","eug16","ObjectId(""5a376a7b90789136ad0752b9"")","4","-1","scripterPopulation"
"ObjectId(""5a376b6190789136ad0752ba"")","-1","eug10","ObjectId(""5a376b6190789136ad0752ba"")","41","-1","scripterPopulation"
"ObjectId(""5a376d1290789136ad0752bd"")","-1","eug8","ObjectId(""5a376d1290789136ad0752bd"")","-1",0,"scripterResponse"
"ObjectId(""5a376f0990789136ad0752c0"")","213.249454942","eug6","ObjectId(""5a376f0990789136ad0752c0"")","-1","-1","scripterActivity"
"ObjectId(""5a37718490789136ad0752c3"")","-1","eug16","ObjectId(""5a37718490789136ad0752c3"")","-1","0.93887862871","scripterResponse"
"ObjectId(""5a37726a90789136ad0752c4"")","-1","eug10","ObjectId(""5a37726a90789136ad0752c4"")","-1","0.0693687255841","scripterResponse"
"ObjectId(""5a37741b90789136ad0752c7"")","168.582589286","eug8","ObjectId(""5a37741b90789136ad0752c7"")","-1","-1","scripterActivity"
"ObjectId(""5a37761190789136ad0752ca"")","-1","eug6","ObjectId(""5a37761190789136ad0752ca"")","136","-1","scripterPopulation"
"ObjectId(""5a37788d90789136ad0752cd"")","181.71875","eug16","ObjectId(""5a37788d90789136ad0752cd"")","-1","-1","scripterActivity"
"ObjectId(""5a37797290789136ad0752ce"")","173.195684524","eug10","ObjectId(""5a37797290789136ad0752ce"")","-1","-1","scripterActivity"
