"_id","bpu","rating","userId","username"
"ObjectId(""599acfd48ada34896990f4ac"")","eug0","2","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599ad01d8ada34896990f4ad"")","eug1","3","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599ad06b8ada34896990f4ae"")","eug3","4","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599ad0c18ada34896990f4af"")","eug15","3","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599ad10b8ada34896990f4b0"")","eug16","5","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599ad15e8ada34896990f4b1"")","eug4","4","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599ad1a98ada34896990f4b2"")","eug5","3","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599ad1f68ada34896990f4b3"")","eug6","1","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599ad2448ada34896990f4b4"")","eug7","1","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599ad2ce8ada34896990f4b5"")","eug8","4","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599ad31c8ada34896990f4b6"")","eug9","5","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599ad36d8ada34896990f4b7"")","eug10","5","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599b6d5a8ada34896990f4c3"")","eug9","5","ObjectId(""587eadef6e940b815f8dd66c"")","trumu"
"ObjectId(""599c90f98ada34896990f4ca"")","eug0","1","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599c91438ada34896990f4cb"")","eug1","4","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599c91f58ada34896990f4cc"")","eug3","5","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599c92428ada34896990f4cd"")","eug15","3","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599c92918ada34896990f4ce"")","eug16","3","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599c92ea8ada34896990f4cf"")","eug4","3","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599c93368ada34896990f4d0"")","eug5","3","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599c937f8ada34896990f4d1"")","eug6","3","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599c93d48ada34896990f4d2"")","eug7","5","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599c941e8ada34896990f4d3"")","eug8","3","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599c946c8ada34896990f4d4"")","eug9","4","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599c94bd8ada34896990f4d5"")","eug10","5","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599db92d8ada34896990f4d7"")","eug0","2","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599db9778ada34896990f4d8"")","eug1","4","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599db9bf8ada34896990f4d9"")","eug3","5","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599dba108ada34896990f4da"")","eug15","4","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599dba678ada34896990f4db"")","eug16","3","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599dbaea8ada34896990f4dc"")","eug4","3","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599dbb3b8ada34896990f4dd"")","eug5","3","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599dbb918ada34896990f4de"")","eug6","3","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599dbbe88ada34896990f4df"")","eug7","2","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599dbc398ada34896990f4e0"")","eug8","3","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599dbc838ada34896990f4e1"")","eug9","3","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599dbe268ada34896990f4e2"")","eug10","5","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599de4f68ada34896990f4e3"")","eug3","5","ObjectId(""563bb418ace41fb06564abbd"")","ingmar"
"ObjectId(""599f4b10c551683c2831c88a"")","eug1","4","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599f4ba8c551683c2831c88b"")","eug0","1","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599f4c5fc551683c2831c88c"")","eug3","5","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599f4cafc551683c2831c88d"")","eug15","4","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599f4cfac551683c2831c88e"")","eug16","5","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599f4e75c551683c2831c88f"")","eug4","5","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599f4ed4c551683c2831c890"")","eug5","5","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599f4fabc551683c2831c891"")","eug6","3","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599f739c4150ca6d6feb2caf"")","eug7","2","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599f73eb4150ca6d6feb2cb0"")","eug8","4","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599f74364150ca6d6feb2cb1"")","eug9","3","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599f74a64150ca6d6feb2cb2"")","eug10","4","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""59a055254150ca6d6feb2cb4"")","eug0","4","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""59a0556c4150ca6d6feb2cb5"")","eug1","4","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""59a056ed4150ca6d6feb2cb6"")","eug3","5","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""59a057414150ca6d6feb2cb7"")","eug15","4","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""59a058324150ca6d6feb2cb8"")","eug16","2","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""59a0588f4150ca6d6feb2cb9"")","eug4","5","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""59a058ec4150ca6d6feb2cba"")","eug5","3","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""59a059484150ca6d6feb2cbb"")","eug6","4","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""59a0599c4150ca6d6feb2cbc"")","eug7","2","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""59a059ea4150ca6d6feb2cbd"")","eug8","4","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""59a05a434150ca6d6feb2cbe"")","eug9","4","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""59a05a8d4150ca6d6feb2cbf"")","eug10","5","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""59a49bf453d824733cdfd699"")","eug10","5","ObjectId(""57a7f8539f7dbe5942dc4931"")","shirishgoyal"
"ObjectId(""59a49c1253d824733cdfd69a"")","eug9","5","ObjectId(""57a7f8539f7dbe5942dc4931"")","shirishgoyal"
"ObjectId(""59a49c2e53d824733cdfd69b"")","eug8","4","ObjectId(""57a7f8539f7dbe5942dc4931"")","shirishgoyal"
"ObjectId(""59a49c4a53d824733cdfd69c"")","eug7","2","ObjectId(""57a7f8539f7dbe5942dc4931"")","shirishgoyal"
"ObjectId(""59a49c6853d824733cdfd69d"")","eug6","3","ObjectId(""57a7f8539f7dbe5942dc4931"")","shirishgoyal"
"ObjectId(""59a49c8453d824733cdfd69e"")","eug5","3","ObjectId(""57a7f8539f7dbe5942dc4931"")","shirishgoyal"
"ObjectId(""59a49ca053d824733cdfd69f"")","eug4","5","ObjectId(""57a7f8539f7dbe5942dc4931"")","shirishgoyal"
"ObjectId(""59a49cb953d824733cdfd6a0"")","eug16","5","ObjectId(""57a7f8539f7dbe5942dc4931"")","shirishgoyal"
"ObjectId(""59a49cd253d824733cdfd6a1"")","eug15","4","ObjectId(""57a7f8539f7dbe5942dc4931"")","shirishgoyal"
"ObjectId(""59a49cec53d824733cdfd6a2"")","eug3","5","ObjectId(""57a7f8539f7dbe5942dc4931"")","shirishgoyal"
"ObjectId(""59aeaa0051d85d4779aa22e8"")","eug3","5","ObjectId(""563bb418ace41fb06564abbd"")","ingmar"
"ObjectId(""59b1514b51d85d4779aa22ef"")","eug9","4","ObjectId(""57a9ff7b9f7dbe5942dc49a1"")","deannadgrider"
"ObjectId(""59b151a551d85d4779aa22f0"")","eug3","5","ObjectId(""57a9ff7b9f7dbe5942dc49a1"")","deannadgrider"
"ObjectId(""59b1520f51d85d4779aa22f1"")","eug3","5","ObjectId(""57a9ff7b9f7dbe5942dc49a1"")","deannadgrider"
"ObjectId(""59b315c45a6891c02e2106ce"")","eug1","3","ObjectId(""59b3151b5a6891c02e2106cb"")","javiloz1604"
"ObjectId(""59b317d65a6891c02e2106cf"")","eug1","4","ObjectId(""563bb418ace41fb06564abbd"")","ingmar"
"ObjectId(""59b318215a6891c02e2106d0"")","eug9","5","ObjectId(""563bb418ace41fb06564abbd"")","ingmar"
"ObjectId(""59b6423a5a6891c02e2106d9"")","eug7","1","ObjectId(""563bb418ace41fb06564abbd"")","ingmar"
"ObjectId(""59b862225a6891c02e2106dc"")","eug3","3","ObjectId(""57a9ff7b9f7dbe5942dc49a1"")","deannadgrider"
"ObjectId(""59b862755a6891c02e2106dd"")","eug7","1","ObjectId(""57a9ff7b9f7dbe5942dc49a1"")","deannadgrider"
"ObjectId(""59b863265a6891c02e2106de"")","eug15","4","ObjectId(""57a9ff7b9f7dbe5942dc49a1"")","deannadgrider"
"ObjectId(""59b863885a6891c02e2106df"")","eug6","3","ObjectId(""57a9ff7b9f7dbe5942dc49a1"")","deannadgrider"
