"_id","activity","bpu","population","rating","response","username"
"ObjectId(""5a4430e183bd51ae36a08354"")","4","eug16","5","4","4","peterwashington"
"ObjectId(""5a4447e983bd51ae36a08356"")","3","eug6","3","3","3","peterwashington"
"ObjectId(""5a4448a583bd51ae36a08357"")","2","eug8","4","3","3","peterwashington"
"ObjectId(""5a4448fa83bd51ae36a08358"")","3","eug10","2","2","2","peterwashington"
"ObjectId(""5a44496683bd51ae36a08359"")","4","eug16","4","4","5","peterwashington"
"ObjectId(""5a46b09583bd51ae36a08376"")","3","eug6","4","3","2","peterwashington"
"ObjectId(""5a46b10583bd51ae36a08377"")","2","eug8","2","2","2","peterwashington"
"ObjectId(""5a46b15e83bd51ae36a08378"")","2","eug10","2","2","2","peterwashington"
"ObjectId(""5a46b1d483bd51ae36a08379"")","5","eug16","4","5","5","peterwashington"
"ObjectId(""5a4ab8f283bd51ae36a0839f"")","2","eug6","4","2","2","peterwashington"
"ObjectId(""5a4ab95383bd51ae36a083a0"")","2","eug8","2","2","2","peterwashington"
"ObjectId(""5a4ab9be83bd51ae36a083a1"")","2","eug10","2","2","2","peterwashington"
"ObjectId(""5a4aba1483bd51ae36a083a2"")","3","eug16","4","4","4","peterwashington"
"ObjectId(""5a4b0c5883bd51ae36a083a6"")","2","eug6","3","1","1","peterwashington"
"ObjectId(""5a4b0cab83bd51ae36a083a7"")","2","eug8","2","2","2","peterwashington"
"ObjectId(""5a4b0cfa83bd51ae36a083a8"")","2","eug10","1","2","2","peterwashington"
"ObjectId(""5a4b0d4d83bd51ae36a083a9"")","4","eug16","4","4","4","peterwashington"
"ObjectId(""5a4bda8a83bd51ae36a083b1"")","1","eug6","5","1","1","peterwashington"
"ObjectId(""5a4be4f283bd51ae36a083b2"")","1","eug8","4","1","1","peterwashington"
"ObjectId(""5a4be54483bd51ae36a083b3"")","3","eug10","1","3","3","peterwashington"
"ObjectId(""5a4be59383bd51ae36a083b4"")","3","eug16","4","4","4","peterwashington"
"ObjectId(""5a4c31ba83bd51ae36a083b8"")","1","eug6","4","1","1","peterwashington"
"ObjectId(""5a4c320783bd51ae36a083b9"")","2","eug8","3","2","2","peterwashington"
"ObjectId(""5a4c325583bd51ae36a083ba"")","2","eug10","2","2","3","peterwashington"
"ObjectId(""5a4cee3183bd51ae36a083c3"")","2","eug6","5","2","2","ingmar"
"ObjectId(""5a4ceeb583bd51ae36a083c4"")","4","eug8","3","2","2","ingmar"
"ObjectId(""5a4cef7b83bd51ae36a083c5"")","4","eug10","3","3","4","ingmar"
"ObjectId(""5a4cf03583bd51ae36a083c6"")","5","eug16","5","5","4","ingmar"
"ObjectId(""5a4d49e883bd51ae36a083cf"")","2","eug6","4","2","1","peterwashington"
"ObjectId(""5a4d4a3a83bd51ae36a083d0"")","3","eug8","3","3","2","peterwashington"
"ObjectId(""5a4d4aaf83bd51ae36a083d1"")","3","eug10","1","2","2","peterwashington"
"ObjectId(""5a4d4afc83bd51ae36a083d2"")","4","eug16","5","4","4","peterwashington"
"ObjectId(""5a4d8c2a83bd51ae36a083d5"")","2","eug6","4","2","2","peterwashington"
"ObjectId(""5a4d8c8083bd51ae36a083d7"")","1","eug8","3","2","2","peterwashington"
"ObjectId(""5a4d8cce83bd51ae36a083d8"")","3","eug10","2","3","3","peterwashington"
"ObjectId(""5a4d8d1f83bd51ae36a083d9"")","4","eug16","4","4","4","peterwashington"
"ObjectId(""5a4e680b83bd51ae36a083e1"")","4","eug6","5","4","3","shirishgoyal"
"ObjectId(""5a4e686083bd51ae36a083e2"")","3","eug8","2","2","2","shirishgoyal"
"ObjectId(""5a4e69fa83bd51ae36a083e3"")","3","eug6","4","2","2","peterwashington"
"ObjectId(""5a4e6a4983bd51ae36a083e4"")","3","eug8","3","3","4","peterwashington"
"ObjectId(""5a4e6a9a83bd51ae36a083e5"")","3","eug10","2","2","3","peterwashington"
"ObjectId(""5a4e6afb83bd51ae36a083e6"")","3","eug16","4","4","4","peterwashington"
"ObjectId(""5a4e6e1c83bd51ae36a083e8"")","4","eug10","4","3","3","shirishgoyal"
"ObjectId(""5a4e6e7a83bd51ae36a083e9"")","5","eug16","3","4","5","shirishgoyal"
"ObjectId(""5a4e710983bd51ae36a083ea"")","4","eug6","5","2","2","shirishgoyal"
"ObjectId(""5a4e81f383bd51ae36a083eb"")","3","eug6","4","3","3","shirishgoyal"
"ObjectId(""5a4e824383bd51ae36a083ec"")","4","eug8","2","2","2","shirishgoyal"
"ObjectId(""5a4e829b83bd51ae36a083ed"")","3","eug10","3","2","2","shirishgoyal"
"ObjectId(""5a4e82e883bd51ae36a083ee"")","5","eug16","4","5","5","shirishgoyal"
"ObjectId(""5a4e956983bd51ae36a083f4"")","4","eug6","5","3","3","shirishgoyal"
"ObjectId(""5a4e95bf83bd51ae36a083f5"")","4","eug8","2","2","3","shirishgoyal"
"ObjectId(""5a4e960d83bd51ae36a083f6"")","3","eug10","3","2","2","shirishgoyal"
"ObjectId(""5a4e965f83bd51ae36a083f7"")","5","eug16","4","5","5","shirishgoyal"
"ObjectId(""5a4ebae983bd51ae36a083fa"")","4","eug6","5","3","2","shirishgoyal"
"ObjectId(""5a4ebb3a83bd51ae36a083fb"")","4","eug8","2","3","4","shirishgoyal"
"ObjectId(""5a4ebb8e83bd51ae36a083fc"")","4","eug10","3","4","4","shirishgoyal"
"ObjectId(""5a4ebbdc83bd51ae36a083fd"")","5","eug16","5","5","5","shirishgoyal"
"ObjectId(""5a51659d83bd51ae36a08420"")","3","eug6","4","3","3","peterwashington"
"ObjectId(""5a51661f83bd51ae36a08421"")","3","eug8","2","3","3","peterwashington"
"ObjectId(""5a51666d83bd51ae36a08422"")","4","eug10","2","3","4","peterwashington"
"ObjectId(""5a5166c283bd51ae36a08423"")","4","eug16","4","4","4","peterwashington"
